Site,1,2,3,4,5,6,7,8,9,10
1,0,0.062,0.147,0.131,0.167,0.201,0.205,0.401,0.39,0.256
2,0.062,0,0.12,0.182,0.218,0.241,0.286,0.447,0.435,0.314
3,0.147,0.12,0,0.19,0.214,0.207,0.195,0.406,0.393,0.319
4,0.131,0.182,0.19,0,0.036,0.081,0.095,0.27,0.26,0.135
5,0.167,0.218,0.214,0.036,0,0.057,0.077,0.234,0.224,0.105
6,0.201,0.241,0.207,0.081,0.057,0,0.023,0.206,0.194,0.129
7,0.205,0.286,0.195,0.095,0.077,0.023,0,0.213,0.2,0.152
8,0.401,0.447,0.406,0.27,0.234,0.206,0.213,0,0.013,0.181
9,0.39,0.435,0.393,0.26,0.224,0.194,0.2,0.013,0,0.175
10,0.256,0.314,0.319,0.135,0.105,0.129,0.152,0.181,0.175,0
